"Customer_id";"customername";"gender";"age";"total_purchases";"total_spent";"avg_purchase_value";"churn"
25314;"Joseph Pacheco";"Male";42;5;11605.0;2321.0;0
8086;"Angel Harris";"Male";39;10;23281.0;2328.1;0
46717;"Mary Nguyen";"Female";44;3;13630.0;4543.3333;0
37332;"Kayla Fleming";"Female";65;10;37509.0;3750.9;0
48175;"Nancy Riley";"Male";51;8;20944.0;2618.0;0
10481;"Stephanie Patel";"Male";61;6;21952.0;3658.6667;0
42500;"Jasmine Miller";"Female";43;9;25553.0;2839.2222;0
45465;"Patrick Baker";"Female";58;8;22173.0;2771.625;0
18433;"Joshua Wallace";"Male";60;3;6549.0;2183.0;0
12338;"Sue Sawyer";"Female";21;6;22564.0;3760.6667;1
9606;"Kevin Zimmerman";"Male";51;4;10804.0;2701.0;0
44513;"Michael Perry";"Female";21;3;10481.0;3493.6667;0
7048;"Shawn Jensen";"Male";18;4;6268.0;1567.0;0
7805;"Shawn Reynolds";"Female";35;8;20654.0;2581.75;0
10762;"Ashley Burton";"Male";60;9;15084.0;1676.0;0
4272;"Scott Green";"Female";44;4;10720.0;2680.0;0
11069;"Jennifer Ruiz";"Female";23;5;5581.0;1116.2;0
46183;"Christopher Hawkins";"Female";69;6;16255.0;2709.1667;0
13534;"Shane Martinez";"Male";54;8;15103.0;1887.875;0
1298;"Robert Hines";"Male";61;7;21193.0;3027.5714;0
5616;"Sarah Rodriguez";"Male";48;6;20990.0;3498.3333;0
38546;"Alicia Shaw";"Female";41;4;9973.0;2493.25;0
35164;"Diana Snow";"Female";58;10;30017.0;3001.7;1
29493;"Sandra Simpson";"Male";67;5;11827.0;2365.4;0
20394;"Shawn Stafford";"Female";61;5;14577.0;2915.4;0
25141;"Steve Young";"Female";37;5;17695.0;3539.0;0
28484;"Amber Crawford";"Female";25;7;24079.0;3439.8571;0
19647;"Kelly Dean";"Male";37;6;20297.0;3382.8333;1
41953;"Amber Lara";"Female";69;6;18667.0;3111.1667;0
34666;"Lori Hooper";"Female";26;3;4896.0;1632.0;0
48259;"Melanie Taylor";"Female";42;6;16850.0;2808.3333;0
38905;"James Phillips";"Male";38;6;15838.0;2639.6667;0
353;"Jessica Gardner";"Female";33;7;19498.0;2785.4286;1
2159;"Ashlee King";"Female";69;6;16315.0;2719.1667;0
6704;"Anthony Rich";"Male";58;9;23347.0;2594.1111;0
32343;"Stephen Meadows";"Male";44;5;13073.0;2614.6;1
15543;"Robert Hopkins";"Male";57;4;7996.0;1999.0;0
29419;"Steven Allen";"Female";57;6;16943.0;2823.8333;0
42327;"Matthew Hill DVM";"Female";20;7;24927.0;3561.0;1
19293;"James Bass";"Female";46;3;8983.0;2994.3333;0
24863;"Jordan Moore";"Male";43;6;14385.0;2397.5;0
42859;"Kenneth Soto";"Female";68;9;22659.0;2517.6667;1
1364;"Melissa Molina";"Female";24;8;28502.0;3562.75;0
3494;"Jessica Jimenez MD";"Female";51;7;21398.0;3056.8571;0
4807;"Mason Sanchez";"Female";59;7;20836.0;2976.5714;0
11116;"Lauren Gregory";"Female";66;6;24761.0;4126.8333;0
1975;"Samuel Maldonado";"Male";51;7;17778.0;2539.7143;0
27690;"John Juarez";"Female";57;6;9823.0;1637.1667;0
39126;"Erica Duncan";"Male";61;3;11961.0;3987.0;0
10016;"Robin West";"Female";57;4;15232.0;3808.0;0
37527;"Elizabeth Myers";"Male";41;9;23354.0;2594.8889;1
48220;"Yolanda Washington";"Female";51;3;7854.0;2618.0;1
21954;"Chad Blair";"Female";21;7;18042.0;2577.4286;0
46055;"Krista Mullen";"Female";41;4;17439.0;4359.75;0
10125;"Elizabeth Haney";"Male";19;3;13251.0;4417.0;0
22074;"Jacqueline Jones";"Male";57;9;27323.0;3035.8889;0
35531;"Jonathan Marsh";"Female";39;5;17511.0;3502.2;0
1193;"Xavier Wilson";"Female";44;10;21873.0;2187.3;0
21703;"Richard Khan";"Female";49;6;21055.0;3509.1667;0
27337;"Shelby Henry";"Female";48;7;10713.0;1530.4286;1
10458;"Luke West";"Female";65;7;16560.0;2365.7143;0
15399;"Joshua Holden";"Female";39;8;27589.0;3448.625;0
18400;"Shelly Dorsey";"Male";36;7;16313.0;2330.4286;0
48711;"Michael Baker";"Female";65;9;26123.0;2902.5556;0
7090;"Andrew West";"Female";37;6;21497.0;3582.8333;0
24534;"Paul Ford";"Male";54;6;20738.0;3456.3333;0
2521;"Deborah Miller";"Male";50;9;20931.0;2325.6667;0
5837;"Gary Wilson";"Male";68;6;18775.0;3129.1667;0
4487;"Heather Jones";"Female";34;5;13237.0;2647.4;1
28778;"Tammy Tucker";"Male";25;7;18146.0;2592.2857;0
26860;"Emily Cruz";"Male";53;4;13903.0;3475.75;1
23168;"Vanessa Lewis";"Female";57;5;14422.0;2884.4;0
27357;"Kylie Kelley";"Female";65;8;26460.0;3307.5;0
6795;"Jon Lynch";"Male";65;9;25204.0;2800.4444;0
6320;"Tiffany Tanner";"Male";25;9;20145.0;2238.3333;0
49031;"Suzanne Martinez";"Female";53;5;17120.0;3424.0;0
9798;"Beverly Martin";"Female";19;8;22898.0;2862.25;0
14425;"Sarah Young";"Male";54;4;13960.0;3490.0;0
35940;"Jacqueline Mcgee";"Male";33;3;12841.0;4280.3333;0
4098;"Sarah Garrett";"Female";52;2;5315.0;2657.5;0
14875;"Christian Contreras";"Male";67;3;9720.0;3240.0;1
33471;"Valerie Brooks";"Female";30;9;26274.0;2919.3333;1
6003;"Douglas Tyler";"Female";60;1;1178.0;1178.0;0
41194;"Mckenzie Christensen";"Female";54;8;25914.0;3239.25;0
38837;"James Warren";"Female";54;4;10883.0;2720.75;1
22451;"Julie Scott";"Female";52;9;12328.0;1369.7778;0
18896;"Crystal Yoder";"Female";55;3;7965.0;2655.0;0
8937;"Richard Thompson";"Male";19;2;5165.0;2582.5;0
30778;"Stephanie Johnson";"Male";32;3;9280.0;3093.3333;0
48283;"John Wilcox";"Female";50;5;14351.0;2870.2;0
48313;"John Simpson";"Female";19;3;8897.0;2965.6667;1
7832;"Angela Porter";"Male";43;7;20262.0;2894.5714;0
19150;"Michael Moore";"Male";20;4;10493.0;2623.25;0
35194;"Philip Hinton";"Female";40;6;14528.0;2421.3333;0
28994;"Samantha Ruiz";"Female";51;6;19975.0;3329.1667;0
14579;"Anthony Thomas";"Female";42;5;17887.0;3577.4;1
45612;"Brandon Lee";"Male";49;7;16800.0;2400.0;0
20426;"Sarah Flowers";"Female";26;4;10796.0;2699.0;0
43648;"Sydney Mcguire";"Female";35;4;12084.0;3021.0;0
6460;"Tyler Fernandez";"Male";56;11;26188.0;2380.7273;0
37543;"Paul Hicks";"Female";23;6;14509.0;2418.1667;0
6501;"Sara Flores";"Female";42;3;8109.0;2703.0;0
4919;"Michael Jimenez";"Male";20;4;12977.0;3244.25;0
5538;"Lisa Walters";"Female";31;4;7906.0;1976.5;0
9687;"Sherri Jones";"Female";64;5;10257.0;2051.4;0
33654;"James Crane";"Male";31;2;4016.0;2008.0;0
45363;"Debra Brown";"Female";69;4;9332.0;2333.0;0
5737;"Jennifer Taylor";"Male";56;3;6312.0;2104.0;0
41540;"John Turner";"Female";68;7;17625.0;2517.8571;1
31507;"Sandra Hayes";"Male";31;5;12136.0;2427.2;0
41334;"Anne Williams";"Female";42;5;14896.0;2979.2;0
47129;"Erin Ewing";"Male";41;9;25512.0;2834.6667;0
5423;"Aaron Jacobs";"Male";60;5;14606.0;2921.2;1
28317;"Candice Pierce";"Male";51;12;34436.0;2869.6667;0
41740;"Mary Guzman";"Female";44;8;28149.0;3518.625;0
28540;"Angela Alvarez";"Female";19;5;15047.0;3009.4;0
46971;"Laura Davis";"Male";21;8;19341.0;2417.625;0
4576;"Jennifer Diaz";"Female";40;6;13494.0;2249.0;0
21401;"Eric Hernandez";"Female";63;7;14406.0;2058.0;0
41933;"Rachel Morgan";"Female";69;9;25920.0;2880.0;0
16121;"Jordan Smith";"Female";58;7;16216.0;2316.5714;0
27735;"Elizabeth Rivas";"Male";41;8;23972.0;2996.5;0
9101;"Sonya Blair";"Male";56;3;8078.0;2692.6667;0
18868;"Brenda Moore";"Female";24;8;16870.0;2108.75;1
27530;"Karina Proctor";"Female";40;5;11833.0;2366.6;0
22092;"Mrs. Melissa Hernandez";"Female";30;7;18327.0;2618.1429;0
40530;"Anthony Pearson";"Male";56;5;17354.0;3470.8;0
23892;"Juan Gomez";"Female";67;5;18474.0;3694.8;1
15657;"Steve Mays";"Male";30;3;11472.0;3824.0;0
11397;"Vanessa Blackburn";"Male";60;6;15609.0;2601.5;0
46942;"Anna Martin";"Female";62;7;23081.0;3297.2857;0
48430;"Christopher Duran";"Male";24;6;8213.0;1368.8333;0
23587;"Leslie Estrada";"Female";43;5;15180.0;3036.0;0
40328;"Amanda Lewis";"Male";42;6;13885.0;2314.1667;0
30365;"Megan Bates";"Male";64;10;26549.0;2654.9;0
19502;"Travis Garcia";"Female";70;8;23574.0;2946.75;1
24472;"Michael Martinez";"Female";48;6;14428.0;2404.6667;0
28667;"Mitchell Bryan";"Male";67;9;24018.0;2668.6667;0
44907;"Gregory Ramsey";"Male";30;5;13962.0;2792.4;0
23706;"Kelly Sanchez";"Male";40;7;17819.0;2545.5714;0
30960;"Lisa Miller";"Female";25;8;17904.0;2238.0;0
29541;"Christine Conway";"Male";43;9;23985.0;2665.0;0
6004;"Katherine Cameron";"Female";41;5;17600.0;3520.0;0
18407;"Sierra Wilson";"Male";64;10;28327.0;2832.7;0
25522;"Amanda Heath";"Female";33;9;29780.0;3308.8889;0
14025;"Melissa Shah";"Female";63;5;12441.0;2488.2;0
4563;"Joshua Robinson";"Male";55;7;24564.0;3509.1429;0
48651;"Kristina Reyes";"Male";25;7;22575.0;3225.0;0
22230;"Christopher Barton";"Female";32;7;14892.0;2127.4286;0
2041;"Daniel Martin";"Female";58;7;13897.0;1985.2857;0
45961;"Austin Torres";"Female";68;7;21051.0;3007.2857;0
32218;"Gary Freeman";"Male";66;7;15123.0;2160.4286;0
14200;"Alisha Juarez";"Female";62;4;13426.0;3356.5;0
6553;"Robert Dunn";"Female";51;7;21796.0;3113.7143;1
2741;"Dr. Emily Scott";"Female";59;5;11099.0;2219.8;1
24939;"Steven Lang";"Male";63;10;28084.0;2808.4;0
43220;"Adriana Parrish";"Female";70;5;17825.0;3565.0;1
36131;"Tracy Braun";"Male";23;5;16797.0;3359.4;0
10204;"Stephanie Pacheco";"Male";39;7;15813.0;2259.0;0
12800;"Mrs. Carly Mata";"Female";69;12;28599.0;2383.25;0
33873;"Debra Stein";"Male";66;4;11382.0;2845.5;0
10112;"Christopher Armstrong";"Male";31;6;17820.0;2970.0;0
31367;"Stephanie Peters";"Male";54;6;16032.0;2672.0;0
32820;"Michael Mcdaniel";"Male";58;3;8064.0;2688.0;0
516;"Evan Arias";"Male";35;6;17779.0;2963.1667;1
16322;"Lisa Sanchez";"Female";41;5;17226.0;3445.2;1
9244;"David Johnson";"Male";34;7;19377.0;2768.1429;0
22062;"Lisa Sanchez";"Male";40;12;31214.0;2601.1667;0
47531;"Steven Cochran";"Female";42;7;23219.0;3317.0;0
32198;"Catherine Jordan";"Male";24;4;9167.0;2291.75;1
27048;"David Hubbard";"Female";51;4;10180.0;2545.0;0
38272;"Andrea Jackson";"Male";67;5;9924.0;1984.8;1
34034;"Michele White";"Female";58;7;17992.0;2570.2857;0
47567;"Luis Rogers";"Male";54;9;28729.0;3192.1111;0
29947;"Brandon Brooks";"Female";63;5;15736.0;3147.2;0
32848;"Robert Burnett";"Male";29;6;13671.0;2278.5;0
15944;"Mikayla Krueger";"Female";69;3;7428.0;2476.0;0
5638;"Frank Anderson";"Male";26;5;6347.0;1269.4;0
21725;"Jennifer Gonzalez";"Male";65;9;22675.0;2519.4444;0
33577;"Jessica Morris";"Male";54;5;16960.0;3392.0;0
42926;"Joanna Cooper";"Female";19;5;14925.0;2985.0;1
44135;"Aaron Butler";"Male";51;7;21512.0;3073.1429;0
17972;"Terrance Stewart";"Female";25;5;12791.0;2558.2;0
3739;"Heather Rogers";"Male";24;7;20178.0;2882.5714;0
19900;"Diana Baker";"Female";57;5;11374.0;2274.8;0
20152;"Ethan Turner";"Female";51;8;17810.0;2226.25;0
7621;"William Michael";"Male";27;4;12900.0;3225.0;0
19310;"Michael Holt";"Female";31;3;6655.0;2218.3333;1
5919;"Rhonda Long";"Male";67;5;14419.0;2883.8;0
32089;"Albert Suarez";"Male";44;11;32712.0;2973.8182;1
35836;"Deborah Gonzales";"Female";25;6;16149.0;2691.5;0
23803;"Jacqueline Rogers";"Female";55;3;7897.0;2632.3333;0
41858;"Abigail Lopez";"Female";32;3;7380.0;2460.0;0
19120;"Michael Scott";"Male";20;4;8873.0;2218.25;0
2095;"Colleen Douglas";"Male";55;2;4386.0;2193.0;0
35432;"Joseph Dawson DDS";"Male";48;5;9550.0;1910.0;1
47171;"Brenda Goodman";"Male";50;5;18361.0;3672.2;0
39751;"Stacy Juarez";"Female";49;5;10197.0;2039.4;0
35734;"Matthew Black";"Male";38;6;16066.0;2677.6667;0
44599;"Robert Brown";"Male";43;6;15224.0;2537.3333;0
2408;"Anna Baker";"Female";43;5;13436.0;2687.2;0
1276;"Joseph Kelly";"Male";66;6;14773.0;2462.1667;1
35906;"Toni Lee";"Female";49;6;14992.0;2498.6667;0
7448;"Courtney Mcmahon";"Male";44;4;13598.0;3399.5;1
35264;"Stacey Acosta";"Female";48;6;14779.0;2463.1667;0
27534;"Karen Harris";"Female";59;8;20337.0;2542.125;0
6058;"Caleb Cruz";"Female";19;5;14505.0;2901.0;1
37649;"Mathew Barnes";"Male";19;6;11877.0;1979.5;0
39875;"Deborah Evans";"Female";59;4;10703.0;2675.75;0
16962;"Rachel Blake";"Female";47;9;22775.0;2530.5556;0
24798;"Angela Gentry";"Female";49;9;24851.0;2761.2222;0
13856;"Julie Farley";"Female";64;5;15672.0;3134.4;0
5612;"Anthony Hayes";"Male";53;6;15283.0;2547.1667;0
36170;"Jean Weaver";"Female";33;6;15386.0;2564.3333;0
5309;"Daniel Smith";"Female";19;5;12384.0;2476.8;0
13161;"Ralph Vasquez";"Male";46;4;10029.0;2507.25;0
34275;"Donald Best";"Female";29;7;23016.0;3288.0;0
17430;"Sandra Lee PhD";"Male";50;8;21362.0;2670.25;0
33582;"Charles Miller";"Female";52;4;12871.0;3217.75;0
33102;"Victoria Smith";"Male";23;8;20025.0;2503.125;1
27791;"Deborah Nguyen";"Male";26;5;14193.0;2838.6;0
11987;"Robert Davis";"Male";62;2;6261.0;3130.5;0
26378;"Nathaniel Bishop";"Female";28;12;36589.0;3049.0833;0
39258;"Samantha Huerta";"Male";48;9;19140.0;2126.6667;0
15627;"Brian Valdez";"Female";69;8;19901.0;2487.625;0
15992;"Miss Kelsey Arias MD";"Male";43;5;13803.0;2760.6;0
14936;"Kelly Rice";"Female";33;5;11177.0;2235.4;0
45089;"Richard Rose";"Male";25;11;42701.0;3881.9091;0
13613;"Melissa Smith";"Female";42;7;15720.0;2245.7143;0
43194;"Peter Kim";"Female";45;6;20792.0;3465.3333;0
25033;"Andre Meyer";"Female";53;4;12803.0;3200.75;0
36668;"Mr. Kevin Gray";"Male";41;5;12320.0;2464.0;0
32179;"Jimmy Anderson";"Male";43;5;19711.0;3942.2;0
19977;"Trevor Chavez";"Male";42;5;16394.0;3278.8;0
25350;"Jonathan Chen";"Female";46;7;16946.0;2420.8571;0
49611;"Donald Young";"Male";63;8;20816.0;2602.0;1
28212;"Sheila Watson";"Male";38;8;17541.0;2192.625;0
41930;"Amanda Best";"Female";52;6;19180.0;3196.6667;1
15471;"Rachel Guzman";"Female";45;8;20684.0;2585.5;0
26786;"Evelyn Snyder";"Male";23;8;24994.0;3124.25;1
48573;"Paul Campbell";"Female";27;9;29898.0;3322.0;0
36163;"Terri Vazquez";"Female";65;8;27069.0;3383.625;0
32454;"Maria Hunter";"Male";61;6;14878.0;2479.6667;0
17023;"Hunter Ferguson";"Male";43;6;12679.0;2113.1667;0
41760;"Javier Silva";"Female";25;4;5070.0;1267.5;0
34377;"Jessica Valentine";"Male";31;5;10269.0;2053.8;1
23632;"Nicole Reed";"Female";45;4;11621.0;2905.25;0
27943;"Amber Meyer";"Male";67;7;18606.0;2658.0;0
37155;"Johnathan Williams";"Male";57;6;10861.0;1810.1667;0
26143;"Luis Moore";"Male";18;2;8040.0;4020.0;0
48906;"Michael Ferguson";"Female";37;8;25674.0;3209.25;1
1257;"Janet Thompson";"Male";52;3;6302.0;2100.6667;1
27598;"Trevor Macias";"Female";46;5;8757.0;1751.4;0
35976;"Jessica Price";"Female";24;7;12938.0;1848.2857;0
49689;"Jasmine Garcia";"Male";28;5;15365.0;3073.0;0
34730;"Robert Gonzalez";"Female";61;6;23436.0;3906.0;0
15476;"Kristin Marshall";"Female";48;7;11763.0;1680.4286;0
25893;"Joshua Barajas";"Male";68;6;17949.0;2991.5;0
29399;"Ricky Potter";"Male";53;5;15877.0;3175.4;0
16228;"Thomas Garcia";"Female";39;4;15273.0;3818.25;1
25261;"Tamara Reid";"Male";48;8;21357.0;2669.625;0
32488;"Matthew Fuller";"Male";53;5;12899.0;2579.8;0
16741;"Andrew Morales";"Male";20;9;19261.0;2140.1111;0
46213;"Taylor Stone";"Male";24;4;12920.0;3230.0;0
37151;"Michael Davis";"Female";52;10;25072.0;2507.2;1
31422;"Stephanie West";"Female";50;6;13287.0;2214.5;0
6041;"Timothy Pineda";"Female";59;8;25546.0;3193.25;0
1423;"Joseph Rogers";"Female";30;6;21608.0;3601.3333;0
31447;"Joseph Armstrong";"Male";60;3;4715.0;1571.6667;0
4021;"Jack Ross";"Male";46;8;18363.0;2295.375;0
43935;"Tony Gilmore";"Female";56;4;11130.0;2782.5;0
49546;"Amber Green";"Female";35;2;4241.0;2120.5;0
15963;"Walter Madden";"Female";23;5;10130.0;2026.0;0
43026;"Joshua Park";"Female";70;5;20528.0;4105.6;0
41326;"Justin Jackson";"Male";35;8;24459.0;3057.375;0
40886;"Nancy Gross";"Female";21;6;16709.0;2784.8333;0
3535;"John Rodriguez";"Female";35;6;20269.0;3378.1667;0
27494;"Michael Brennan";"Female";59;5;14461.0;2892.2;0
33757;"Allison Price";"Male";33;6;14576.0;2429.3333;0
41607;"Nathan Sullivan";"Female";50;4;14798.0;3699.5;0
21120;"Gina Dougherty";"Female";54;3;8897.0;2965.6667;0
25095;"Bryce Thomas";"Male";20;11;24775.0;2252.2727;0
35731;"George Hartman";"Female";29;5;16472.0;3294.4;1
18820;"Cristian Johnson";"Male";51;5;12689.0;2537.8;0
28427;"Ian Mercado";"Male";50;6;12618.0;2103.0;0
9645;"John Davis";"Female";39;6;21096.0;3516.0;0
18815;"Stephanie Carrillo";"Female";21;5;16232.0;3246.4;0
26070;"Tammy Manning";"Female";41;5;7654.0;1530.8;0
45532;"April Riggs";"Male";30;2;3040.0;1520.0;0
277;"Jason Williams";"Male";28;7;15709.0;2244.1429;0
45479;"Thomas Waller";"Male";27;6;13310.0;2218.3333;0
16645;"Amy Campos";"Female";26;4;6072.0;1518.0;0
27832;"Sean Fritz";"Female";39;9;36252.0;4028.0;0
26273;"Ana Wilson";"Female";22;6;12384.0;2064.0;1
34619;"Jorge Gibson";"Male";47;8;24561.0;3070.125;0
30524;"Kathryn Kane";"Male";64;7;16083.0;2297.5714;0
4155;"Chad Ramirez";"Male";64;8;24001.0;3000.125;0
10559;"Wayne Clark";"Male";18;5;14634.0;2926.8;1
18402;"Stacey Zuniga";"Female";52;9;18797.0;2088.5556;0
33650;"Melissa Nguyen";"Male";29;5;11564.0;2312.8;0
15199;"Mariah Garza";"Male";70;6;15285.0;2547.5;0
29736;"Jasmine Wolf";"Male";56;6;19615.0;3269.1667;1
41493;"James Logan";"Male";38;6;10470.0;1745.0;0
17446;"Becky Taylor";"Female";29;4;11177.0;2794.25;0
13394;"Ms. Erica Olson";"Male";39;7;22251.0;3178.7143;0
37144;"Trevor Bowen";"Female";19;8;23876.0;2984.5;0
39457;"Monica Ruiz";"Female";20;9;19680.0;2186.6667;0
40210;"Jacqueline Benson";"Male";35;5;15172.0;3034.4;1
13861;"Alexa Castaneda";"Female";60;6;15312.0;2552.0;0
32516;"Ashley Hamilton";"Male";64;6;16919.0;2819.8333;0
2391;"Nancy Nichols";"Male";47;5;16141.0;3228.2;0
10512;"Brooke Flores";"Male";47;10;24922.0;2492.2;0
26213;"Tracy Higgins";"Female";35;4;14168.0;3542.0;0
19405;"Margaret Kelly";"Male";61;6;9640.0;1606.6667;1
13297;"Daniel Garner";"Female";34;7;14997.0;2142.4286;0
8764;"James Norman";"Female";24;4;7760.0;1940.0;1
36229;"Jessica Miller";"Female";37;7;16790.0;2398.5714;0
1380;"Jay Guzman";"Male";36;4;11204.0;2801.0;0
12705;"Alex Sawyer";"Male";22;5;15368.0;3073.6;0
1212;"Rodney Davis";"Male";23;8;20396.0;2549.5;0
9947;"Dr. Kyle Whitaker";"Male";60;9;31244.0;3471.5556;0
21554;"Brian Gonzalez";"Female";70;5;17298.0;3459.6;0
31123;"Robert Carpenter";"Female";59;8;19137.0;2392.125;0
37253;"Deanna Hernandez";"Female";50;9;24958.0;2773.1111;0
20871;"Mark Jenkins";"Female";66;4;8749.0;2187.25;0
38103;"Holly Hansen";"Male";23;6;19872.0;3312.0;0
36841;"James Johnson";"Male";39;5;11444.0;2288.8;0
7727;"Carlos Chang";"Female";67;9;17956.0;1995.1111;0
13060;"Brian Scott";"Female";46;4;13454.0;3363.5;0
40373;"Barbara Garner";"Male";43;8;31139.0;3892.375;1
19343;"Amanda Gutierrez";"Male";29;9;19517.0;2168.5556;0
15186;"Christina Wright";"Male";21;7;20230.0;2890.0;0
5489;"David Reed";"Male";56;8;20322.0;2540.25;0
29887;"Natasha Li";"Female";42;8;23248.0;2906.0;0
33336;"Douglas Hughes";"Male";40;5;11943.0;2388.6;0
722;"Elaine Walker";"Female";20;8;22479.0;2809.875;0
40420;"Taylor Nelson";"Male";25;9;22438.0;2493.1111;0
29565;"Jean Allen";"Male";38;4;9757.0;2439.25;0
27581;"Danielle Doyle";"Female";55;5;13718.0;2743.6;1
37914;"Tanner Trujillo";"Female";30;7;14066.0;2009.4286;1
14386;"Angela Scott";"Male";35;8;20935.0;2616.875;0
35974;"Jeffrey Jackson";"Female";35;5;13188.0;2637.6;0
37984;"Todd Gomez";"Female";36;4;9759.0;2439.75;0
26244;"Catherine Morris";"Male";66;7;24620.0;3517.1429;1
1899;"Matthew Dixon";"Female";68;8;26490.0;3311.25;0
9050;"Connie Sanchez";"Male";23;7;19528.0;2789.7143;0
32319;"Suzanne Zamora";"Male";23;10;22432.0;2243.2;0
43690;"Dominique Willis";"Female";58;6;20489.0;3414.8333;0
42774;"Jerome Griffin";"Male";69;8;25243.0;3155.375;0
16315;"Robert Johnson";"Female";31;5;6262.0;1252.4;0
40370;"Pamela Brown";"Male";25;5;13628.0;2725.6;0
48678;"Jose Roman";"Male";70;6;18166.0;3027.6667;1
9932;"Tara Brooks";"Male";69;5;15808.0;3161.6;0
47055;"Daniel Lyons";"Female";28;6;17685.0;2947.5;0
18710;"John Clark";"Female";70;3;6769.0;2256.3333;0
10732;"Carly Bishop";"Female";66;5;18425.0;3685.0;0
5732;"Richard Tucker";"Female";60;7;22688.0;3241.1429;1
40024;"Troy Price";"Female";62;13;38593.0;2968.6923;1
25115;"Megan Castro";"Male";63;6;16061.0;2676.8333;0
36497;"Daniel Patrick";"Male";38;3;2430.0;810.0;0
21588;"Vincent Collins";"Male";49;3;7706.0;2568.6667;0
24855;"Amanda Stone";"Male";20;7;14232.0;2033.1429;0
28454;"Nicole Petersen";"Male";59;2;2962.0;1481.0;0
30024;"Austin Woods";"Female";47;6;18553.0;3092.1667;0
45280;"Christine Henry";"Female";37;7;17302.0;2471.7143;0
